rank,yearRank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
1,1,1,2020,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, M. Minderer, et al.",International Conference on Learning Representations,2020-10-22,64585,7105,379.828,Vision and Multimodal Learning,transformer,nlp; vision,"While the Transformer architecture has become the de-facto standard for natural language processing tasks, its applications to computer vision remain limited.","high citation signal (64,585); influential citation signal (7,105)","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://www.semanticscholar.org/paper/268d347e8a55b5eb82fb5e7d2f800e33c75ab18a,https://www.semanticscholar.org/paper/268d347e8a55b5eb82fb5e7d2f800e33c75ab18a,,,2010.11929,,225039882,Computer Science,JournalArticle,computer vision; natural language processing,2,citations=64585; influential=7105; open PDF metadata; title AI matches=2; AI term matches=5; query hits=2,"While the Transformer architecture has become the de-facto standard for natural language processing tasks, its applications to computer vision remain limited. In vision, attention is either applied in conjunction with convolutional networks, or used to replace certain components of convolutional networks while keeping their overall structure in place. We show that this reliance on CNNs is not necessary and a pure transformer applied directly to sequences of image patches can perform very well on image classification tasks. When pre-trained on large amounts of data and transferred to multiple mid-sized or small image recognition benchmarks (ImageNet, CIFAR-100, VTAB, etc.), Vision Transformer (ViT) attains excellent results compared to state-of-the-art convolutional networks while requiring substantially fewer computational resources to train."
2,2,2,2020,Language Models are Few-Shot Learners,"Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, J. Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, et al.",Neural Information Processing Systems,2020-05-28,59605,5279,372.905,Foundation Models and Large Language Models,benchmark/dataset; transformer; self-supervised,foundation-models; nlp,Recent work has demonstrated substantial gains on many NLP tasks and benchmarks by pre-training on a large corpus of text followed by fine-tuning on a specific task.,"high citation signal (59,605); influential citation signal (5,279)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/90abbc2cf38462b954ae1b772fac9532e2ccd8b0,https://www.semanticscholar.org/paper/90abbc2cf38462b954ae1b772fac9532e2ccd8b0,,,2005.14165,,218971783,Computer Science; Linguistics,JournalArticle,large language models,1,citations=59605; influential=5279; resource signal; open PDF metadata; title AI matches=2; AI term matches=3,"Recent work has demonstrated substantial gains on many NLP tasks and benchmarks by pre-training on a large corpus of text followed by fine-tuning on a specific task. While typically task-agnostic in architecture, this method still requires task-specific fine-tuning datasets of thousands or tens of thousands of examples. By contrast, humans can generally perform a new language task from only a few examples or from simple instructions - something which current NLP systems still largely struggle to do. Here we show that scaling up language models greatly improves task-agnostic, few-shot performance, sometimes even reaching competitiveness with prior state-of-the-art fine-tuning approaches. Specifically, we train GPT-3, an autoregressive language model with 175 billion parameters, 10x more than any previous non-sparse language model, and test its performance in the few-shot setting. For all tasks, GPT-3 is applied without any gradient updates or fine-tuning, with tasks and few-shot demonstrations specified purely via text interaction with the model. GPT-3 achieves strong performance on many NLP datasets, including translation, question-answering, and cloze tasks, as well as several tasks that require on-the-fly reasoning or domain adaptation, such as unscrambling words, using a novel word in a sentence, or performing 3-digit arithmetic. At the same time, we also identify some datasets where GPT-3's few-shot learning still struggles, as well as some datasets where GPT-3 faces methodological issues related to training on large web corpora. Finally, we find that GPT-3 can generate samples of news articles which human evaluators have difficulty distinguishing from articles written by humans. We discuss broader societal impacts of this finding and of GPT-3 in general."
12,3,3,2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"Patrick Lewis, Ethan Perez, Aleksandara Piktus, F. Petroni, Vladimir Karpukhin, Naman Goyal, Heinrich Kuttler, M. Lewis, et al.",Neural Information Processing Systems,2020-05-22,15004,1402,322.004,Foundation Models and Large Language Models,retrieval,foundation-models; nlp,"Large pre-trained language models have been shown to store factual knowledge in their parameters, and achieve state-of-the-art results when fine-tuned on downstream NLP tasks.","high citation signal (15,004); influential citation signal (1,402)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/659bf9ce7175e1ec266ff54359e2bd76e0b7ff31,https://www.semanticscholar.org/paper/659bf9ce7175e1ec266ff54359e2bd76e0b7ff31,,,2005.11401,,218869575,Computer Science,JournalArticle,large language models,1,citations=15004; influential=1402; open PDF metadata; title AI matches=2; AI term matches=4,"Large pre-trained language models have been shown to store factual knowledge in their parameters, and achieve state-of-the-art results when fine-tuned on downstream NLP tasks. However, their ability to access and precisely manipulate knowledge is still limited, and hence on knowledge-intensive tasks, their performance lags behind task-specific architectures. Additionally, providing provenance for their decisions and updating their world knowledge remain open research problems. Pre-trained models with a differentiable access mechanism to explicit non-parametric memory can overcome this issue, but have so far been only investigated for extractive downstream tasks. We explore a general-purpose fine-tuning recipe for retrieval-augmented generation (RAG) -- models which combine pre-trained parametric and non-parametric memory for language generation. We introduce RAG models where the parametric memory is a pre-trained seq2seq model and the non-parametric memory is a dense vector index of Wikipedia, accessed with a pre-trained neural retriever. We compare two RAG formulations, one which conditions on the same retrieved passages across the whole generated sequence, the other can use different passages per token. We fine-tune and evaluate our models on a wide range of knowledge-intensive NLP tasks and set the state-of-the-art on three open domain QA tasks, outperforming parametric seq2seq models and task-specific retrieve-and-extract architectures. For language generation tasks, we find that RAG models generate more specific, diverse and factual language than a state-of-the-art parametric-only seq2seq baseline."
18,4,4,2020,Training data-efficient image transformers & distillation through attention,"Hugo Touvron, M. Cord, Matthijs Douze, Francisco Massa, Alexandre Sablayrolles, Hervé Jégou",International Conference on Machine Learning,2020-12-23,9283,1210,320.382,Vision and Multimodal Learning,transformer,vision,"Recently, neural networks purely based on attention were shown to address image understanding tasks such as image classification.","high citation signal (9,283); influential citation signal (1,210); recognized venue","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://www.semanticscholar.org/paper/ad7ddcc14984caae308c397f1a589aae75d4ab71,https://www.semanticscholar.org/paper/ad7ddcc14984caae308c397f1a589aae75d4ab71,,,2012.12877,,229363322,Computer Science,JournalArticle; Conference,computer vision,1,citations=9283; influential=1210; recognized venue; resource signal; open PDF metadata; title AI matches=1; AI term matches=4,"Recently, neural networks purely based on attention were shown to address image understanding tasks such as image classification. However, these visual transformers are pre-trained with hundreds of millions of images using an expensive infrastructure, thereby limiting their adoption. In this work, we produce a competitive convolution-free transformer by training on Imagenet only. We train them on a single computer in less than 3 days. Our reference vision transformer (86M parameters) achieves top-1 accuracy of 83.1% (single-crop evaluation) on ImageNet with no external data. More importantly, we introduce a teacher-student strategy specific to transformers. It relies on a distillation token ensuring that the student learns from the teacher through attention. We show the interest of this token-based distillation, especially when using a convnet as a teacher. This leads us to report results competitive with convnets for both Imagenet (where we obtain up to 85.2% accuracy) and when transferring to other tasks. We share our code and models."
21,5,5,2020,nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,"Fabian Isensee, P. Jaeger, Simon A. A. Kohl, Jens Petersen, Klaus Hermann Maier-Hein",Nature Methods,2020-12-07,9048,859,309.026,"AI for Science, Healthcare, and Robotics",metadata-ranked,vision; ai4science,"Positions nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation within AI for Science, Healthcare, and Robotics.","high citation signal (9,048); influential citation signal (859); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1038/s41592-020-01008-z,https://www.semanticscholar.org/paper/f28e387d4229c5f690ce4570a391c0f47e7155c7,https://arxiv.org/pdf/1904.08128,10.1038/s41592-020-01008-z,,33288961,227947847,Computer Science; Medicine,JournalArticle,deep learning,1,citations=9048; influential=859; recognized venue; open PDF metadata; title AI matches=1; AI term matches=1,
26,6,6,2020,Scaling Laws for Neural Language Models,"J. Kaplan, Sam McCandlish, T. Henighan, Tom B. Brown, Benjamin Chess, R. Child, Scott Gray, Alec Radford, et al.",arXiv.org,2020-01-23,8259,586,299.672,Foundation Models and Large Language Models,benchmark/dataset,foundation-models; nlp,We study empirical scaling laws for language model performance on the cross-entropy loss.,"high citation signal (8,259); influential citation signal (586)","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://www.semanticscholar.org/paper/e6c561d02500b2596a230b341a8eb8b921ca5bf2,https://www.semanticscholar.org/paper/e6c561d02500b2596a230b341a8eb8b921ca5bf2,,,2001.08361,,210861095,Computer Science; Mathematics,JournalArticle,large language models,1,citations=8259; influential=586; survey/benchmark signal; resource signal; open PDF metadata; title AI matches=1; AI term matches=1,"We study empirical scaling laws for language model performance on the cross-entropy loss. The loss scales as a power-law with model size, dataset size, and the amount of compute used for training, with some trends spanning more than seven orders of magnitude. Other architectural details such as network width or depth have minimal effects within a wide range. Simple equations govern the dependence of overfitting on model/dataset size and the dependence of training speed on model size. These relationships allow us to determine the optimal allocation of a fixed compute budget. Larger models are significantly more sample-efficient, such that optimally compute-efficient training involves training very large models on a relatively modest amount of data and stopping significantly before convergence."
28,7,7,2020,From Local Explanations to Global Understanding with Explainable AI for Trees,"Scott M. Lundberg, Gabriel Erion-Barner, Hugh Chen, A. DeGrave, J. Prutkin, Bala G. Nair, R. Katz, J. Himmelfarb, et al.",Nature Machine Intelligence,2020-01-01,7955,474,304.883,"AI for Science, Healthcare, and Robotics",transformer; trustworthy-ai; ai4science,trustworthy-ai; ai4science,"Tree-based machine learning models such as random forests, decision trees and gradient boosted trees are popular nonlinear predictive models, yet comparatively little attention has been paid to explaining their predictions.","high citation signal (7,955); influential citation signal (474); recognized venue; open-access PDF metadata","External validation, prospective testing, and domain expert review are often more important than retrospective benchmark scores.; Clinical, biological, or robotic deployment can fail when data collection protocols differ from training assumptions.; Safety, interpretability, uncertainty, and regulatory evidence remain essential for translation.",https://doi.org/10.1038/s42256-019-0138-9,https://www.semanticscholar.org/paper/81600fd653a828d69f6160705be6814dd101beb7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7326367,10.1038/s42256-019-0138-9,,32607472,214265509,Computer Science; Mathematics; Medicine,JournalArticle,machine learning,1,citations=7955; influential=474; recognized venue; translation/trustworthiness signal; open PDF metadata; title AI matches=2; AI term matches=3,"Tree-based machine learning models such as random forests, decision trees and gradient boosted trees are popular nonlinear predictive models, yet comparatively little attention has been paid to explaining their predictions. Here we improve the interpretability of tree-based models through three main contributions. (1) A polynomial time algorithm to compute optimal explanations based on game theory. (2) A new type of explanation that directly measures local feature interaction effects. (3) A new set of tools for understanding global model structure based on combining many local explanations of each prediction. We apply these tools to three medical machine learning problems and show how combining many high-quality local explanations allows us to represent global structure while retaining local faithfulness to the original model. These tools enable us to (1) identify high-magnitude but low-frequency nonlinear mortality risk factors in the US population, (2) highlight distinct population subgroups with shared risk characteristics, (3) identify nonlinear interaction effects among risk factors for chronic kidney disease and (4) monitor a machine learning model deployed in a hospital by identifying which features are degrading the model’s performance over time. Given the popularity of tree-based machine learning models, these improvements to their interpretability have implications across a broad set of domains. Tree-based machine learning models are widely used in domains such as healthcare, finance and public services. The authors present an explanation method for trees that enables the computation of optimal local explanations for individual predictions, and demonstrate their method on three medical datasets."
48,8,8,2020,LightGCN: Simplifying and Powering Graph Convolution Network for Recommendation,"Xiangnan He, Kuan Deng, Xiang Wang, Yan Li, Yongdong Zhang, Meng Wang",Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,2020-02-06,5278,888,298.634,"Graph Learning, Recommendation, and Core Methods",retrieval,nlp; graph-learning,Graph Convolution Network (GCN) has become new state-of-the-art for collaborative filtering.,"high citation signal (5,278); influential citation signal (888); recognized venue","Graph and recommender benchmarks can contain temporal leakage, popularity bias, or unrealistic train/test splits.; Algorithmic gains may be sensitive to hyperparameter budgets and implementation details.; Core methods need careful ablations before broad claims about generality or efficiency are accepted.",https://doi.org/10.1145/3397271.3401063,https://www.semanticscholar.org/paper/3024f58826a5bce3378af94f677e8fb90cbb49e0,,10.1145/3397271.3401063,2002.02126,,211043589,Computer Science,Book; JournalArticle; Conference,graph neural networks,1,citations=5278; influential=888; recognized venue; open PDF metadata; title AI matches=1; AI term matches=2,"Graph Convolution Network (GCN) has become new state-of-the-art for collaborative filtering. Nevertheless, the reasons of its effectiveness for recommendation are not well understood. Existing work that adapts GCN to recommendation lacks thorough ablation analyses on GCN, which is originally designed for graph classification tasks and equipped with many neural network operations. However, we empirically find that the two most common designs in GCNs -- feature transformation and nonlinear activation -- contribute little to the performance of collaborative filtering. Even worse, including them adds to the difficulty of training and degrades recommendation performance. In this work, we aim to simplify the design of GCN to make it more concise and appropriate for recommendation. We propose a new model named LightGCN, including only the most essential component in GCN -- neighborhood aggregation -- for collaborative filtering. Specifically, LightGCN learns user and item embeddings by linearly propagating them on the user-item interaction graph, and uses the weighted sum of the embeddings learned at all layers as the final embedding. Such simple, linear, and neat model is much easier to implement and train, exhibiting substantial improvements (about 16.0% relative improvement on average) over Neural Graph Collaborative Filtering (NGCF) -- a state-of-the-art GCN-based recommender model -- under exactly the same experimental setting. Further analyses are provided towards the rationality of the simple LightGCN from both analytical and empirical perspectives."
63,9,9,2020,Knowledge Distillation: A Survey,"Jianping Gou, B. Yu, S. Maybank, D. Tao",International Journal of Computer Vision,2020-06-09,4286,136,263.873,Foundation Models and Large Language Models,survey/review; transformer,vision,"In recent years, deep neural networks have been successful in both industry and academia, especially for computer vision tasks.","high citation signal (4,286); influential citation signal (136); open-access PDF metadata","Capability gains are difficult to separate from data scale, benchmark leakage, and evaluation prompt sensitivity.; Alignment and safety claims often need stronger real-world and multilingual validation.; Compute-intensive training can limit reproducibility and concentrate follow-up work around a small number of institutions.",https://doi.org/10.1007/s11263-021-01453-z,https://www.semanticscholar.org/paper/1728cb805a9573b59330890ba9723e73d6c3c974,https://eprints.bbk.ac.uk/id/eprint/44038/1/KD_Survey-arxiv.pdf,10.1007/s11263-021-01453-z,2006.05525,,219559263,Computer Science; Engineering; Mathematics,JournalArticle; Review,computer vision; deep learning,2,citations=4286; influential=136; survey/benchmark signal; open PDF metadata; AI term matches=3; query hits=2,"In recent years, deep neural networks have been successful in both industry and academia, especially for computer vision tasks. The great success of deep learning is mainly due to its scalability to encode large-scale data and to maneuver billions of model parameters. However, it is a challenge to deploy these cumbersome deep models on devices with limited resources, e.g., mobile phones and embedded devices, not only because of the high computational complexity but also the large storage requirements. To this end, a variety of model compression and acceleration techniques have been developed. As a representative type of model compression and acceleration, knowledge distillation effectively learns a small student model from a large teacher model. It has received rapid increasing attention from the community. This paper provides a comprehensive survey of knowledge distillation from the perspectives of knowledge categories, training schemes, teacher–student architecture, distillation algorithms, performance comparison and applications. Furthermore, challenges in knowledge distillation are briefly reviewed and comments on future research are discussed and forwarded."
66,10,10,2020,"A Survey of Convolutional Neural Networks: Analysis, Applications, and Prospects","Zewen Li, Fan Liu, Wenjie Yang, Shouheng Peng, Jun Zhou",IEEE Transactions on Neural Networks and Learning Systems,2020-04-01,4237,103,273.762,Vision and Multimodal Learning,survey/review; transformer,nlp; vision,A convolutional neural network (CNN) is one of the most significant networks in the deep learning field.,"high citation signal (4,237); influential citation signal (103); recognized venue; open-access PDF metadata","Large-scale benchmark success can overstate robustness under distribution shift, rare classes, and real deployment constraints.; Multimodal alignment may inherit biases and spurious correlations from web-scale data.; High-performing systems often require data and compute resources that are hard for smaller labs to reproduce.",https://doi.org/10.1109/TNNLS.2021.3084827,https://www.semanticscholar.org/paper/1de68f12db136526116c6ac7064fd13965f2c966,https://research-repository.griffith.edu.au/bitstreams/b17b55ad-283a-4b00-9c07-8688d8690e1b/download,10.1109/TNNLS.2021.3084827,2004.02806,34111009,214803074,Computer Science; Engineering; Medicine,JournalArticle; Review,computer vision; deep learning; natural language processing,3,citations=4237; influential=103; recognized venue; survey/benchmark signal; open PDF metadata; title AI matches=1; AI term matches=4; query hits=3,"A convolutional neural network (CNN) is one of the most significant networks in the deep learning field. Since CNN made impressive achievements in many areas, including but not limited to computer vision and natural language processing, it attracted much attention from both industry and academia in the past few years. The existing reviews mainly focus on CNN’s applications in different scenarios without considering CNN from a general perspective, and some novel ideas proposed recently are not covered. In this review, we aim to provide some novel ideas and prospects in this fast-growing field. Besides, not only 2-D convolution but also 1-D and multidimensional ones are involved. First, this review introduces the history of CNN. Second, we provide an overview of various convolutions. Third, some classic and advanced CNN models are introduced; especially those key points making them reach state-of-the-art results. Fourth, through experimental analysis, we draw some conclusions and provide several rules of thumb for functions and hyperparameter selection. Fifth, the applications of 1-D, 2-D, and multidimensional convolution are covered. Finally, some open issues and promising directions for CNN are discussed as guidelines for future work."
